ticker,company_name,industry_group,cik,fiscal_year,rd_expense_usd,rd_expense_musd,rd_expense_busd,sec_fact_tag,form,filed_date,source_url,crawl_time,raw_file
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2022,461645000.0,461.645,0.461645,ResearchAndDevelopmentExpense,10-K,2023-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2023,387332000.0,387.332,0.387332,ResearchAndDevelopmentExpense,10-K,2024-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2024,320653000.0,320.653,0.320653,ResearchAndDevelopmentExpense,10-K,2025-02-11,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
CRSP,CRISPR Therapeutics AG,Biotechnology,0001674416,2025,284806000.0,284.806,0.284806,ResearchAndDevelopmentExpense,10-K,2026-02-12,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674416.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0001674416_719b2e98d8ea2c25.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2009,632651000.0,632.651,0.632651,ResearchAndDevelopmentExpense,10-K,2010-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2010,809481000.0,809.481,0.809481,ResearchAndDevelopmentExpense,10-K,2011-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2011,1018526000.0,1018.526,1.018526,ResearchAndDevelopmentExpense,10-K,2012-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2012,1137900000.0,1137.9,1.1379,ResearchAndDevelopmentExpense,10-K,2013-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2013,1249900000.0,1249.9,1.2499,ResearchAndDevelopmentExpense,10-K,2014-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2014,1314200000.0,1314.2,1.3142,ResearchAndDevelopmentExpense,10-K,2015-02-25,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2015,1239100000.0,1239.1,1.2391,ResearchAndDevelopmentExpense,10-K,2016-02-24,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2016,975100000.0,975.1,0.9751,ResearchAndDevelopmentExpense,10-K,2017-02-22,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2017,1128800000.0,1128.8,1.1288,ResearchAndDevelopmentExpense,10-K,2018-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2018,1231200000.0,1231.2,1.2312,ResearchAndDevelopmentExpense,10-K,2019-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
DHR,Danaher Corporation,Life Sciences Tools,0000313616,2019,1126000000.0,1126.0,1.126,ResearchAndDevelopmentExpense,10-K,2020-02-21,https://data.sec.gov/api/xbrl/companyfacts/CIK0000313616.json,2026-05-27T18:35:39.477974+00:00,data/raw/sec_companyfacts/CIK0000313616_5099f4484057e9a6.json
